CCTV4K,rtp://239.29.1.164:5000
CCTV1,rtp://239.29.1.1:5001
CCTV1,rtp://239.29.0.113:5000
CCTV1,rtp://239.29.0.133:5000
CCTV2,rtp://239.29.0.116:5000
CCTV2,rtp://239.29.1.8:5001
CCTV3,rtp://239.29.1.133:5000
CCTV4,rtp://239.29.0.87:5000
CCTV4,rtp://239.29.1.144:5000
CCTV4,rtp://239.29.1.142:5000
CCTV4,rtp://239.29.1.9:5001
CCTV5,rtp://239.29.1.134:5000
CCTV5+,rtp://239.29.1.10:5001
CCTV6,rtp://239.29.1.135:5000
CCTV7,rtp://239.29.0.117:5000
CCTV8,rtp://239.29.1.136:5000
CCTV9,rtp://239.29.0.118:5000
CCTV9,rtp://239.29.1.12:5001
CCTV10,rtp://239.29.1.2:5001
CCTV10,rtp://239.29.0.119:5000
CCTV11,rtp://239.29.1.3:5001
CCTV11,rtp://239.29.0.205:5000
CCTV12,rtp://239.29.0.120:5000
CCTV12,rtp://239.29.1.4:5001
CCTV13,rtp://239.29.1.5:5001
CCTV13,rtp://239.29.1.123:5000
CCTV14,rtp://239.29.1.6:5001
CCTV14,rtp://239.29.0.121:5000
CCTV15,rtp://239.29.0.206:5000
CCTV15,rtp://239.29.1.7:5001
CCTV16,rtp://239.29.1.146:5000
CCTV17,rtp://239.29.1.145:5000
CCTV17,rtp://239.29.0.194:5000
CCTV-1,rtp://239.29.1.151:5000
CCTV-1,rtp://239.29.0.151:5000
CCTV-3,rtp://239.29.0.45:5000
CCTV-5,rtp://239.29.0.43:5000
CCTV-6,rtp://239.29.0.44:5000
CCTV-7,rtp://239.29.1.11:5001
CCTV-8,rtp://239.29.0.46:5000
CCTV-16,rtp://239.29.1.149:5000
CETV1,rtp://239.29.1.161:5000
CETV1,rtp://239.29.0.95:5000
CETV4,rtp://239.29.0.220:5000
CGTN,rtp://239.29.1.143:5000
CGTN俄语,rtp://239.29.1.137:5000
CGTN法语,rtp://239.29.1.139:5000
CGTN纪录,rtp://239.29.1.140:5000
CGTN西语,rtp://239.29.1.141:5000
CGTN阿语,rtp://239.29.1.138:5000
