===========================================================================
📡 IPTV 酒店源测速报告 | 时间: 2026-06-25 01:02:51
===========================================================================
服务器 (IP:Port)             | 频道              | 速度           | 稳定性
---------------------------------------------------------------------------
221.7.175.127:9901        | CCTV8           |   1.29 Mbps | 100%
221.7.175.127:9901        | 天津卫视            |   0.63 Mbps | 100%
171.38.194.92:8082        | 灵山综合频道          |   0.29 Mbps | 100%
171.38.194.92:8082        | 横州综合频道          |   0.15 Mbps | 100%
219.159.91.10:8801        | CCTV3综艺         |   0.17 Mbps | 100%
219.159.91.10:8801        | CCTV5体育         |   0.36 Mbps | 100%
112.123.243.37:50085      | CCTV14          |   4.75 Mbps | 100%
219.144.157.62:9901       | 嘉佳卡通            |   0.02 Mbps | 100%
219.144.157.62:9901       | 河北卫视            |   0.02 Mbps | 100%
36.136.38.87:9901         | 河北卫视            |    3.5 Mbps |   0%
36.136.38.87:9901         | 北京卫视            |   3.59 Mbps |   0%
61.136.172.236:9901       | 贵州卫视            |   0.08 Mbps | 100%
61.136.172.236:9901       | 安徽卫视            |   0.05 Mbps | 100%
121.24.98.227:85          | 中国交通            |   0.45 Mbps | 100%
121.24.98.227:85          | CCTV13          |   0.33 Mbps | 100%
144.123.165.186:9901      | 广东卫视            |   1.61 Mbps | 100%
144.123.165.186:9901      | 山东卫视            |   2.42 Mbps | 100%
113.241.135.29:85         | CCTV10          |   4.37 Mbps |  20%
113.241.135.29:85         | 北京卫视            |   2.41 Mbps |   0%
120.196.235.42:9901       | 翡翠台             |   0.94 Mbps | 100%
114.241.108.91:85         | 浙江卫视            |   4.97 Mbps |  90%
114.241.108.91:85         | 江苏卫视            |   3.19 Mbps |  27%
119.39.9.8:9901           | 重庆卫视            |   4.58 Mbps |   0%
119.39.9.8:9901           | 北京卫视            |   4.51 Mbps |   0%
113.241.135.29:9901       | CCTV15          |   3.24 Mbps |  62%
183.190.223.28:888        | CCTV6           |   5.41 Mbps |  20%
183.190.223.28:888        | CCTV14          |   1.73 Mbps | 100%
110.72.52.24:8181         | 1010            |    5.9 Mbps |  74%
110.72.52.24:8181         | 辽宁卫视            |   8.06 Mbps |   0%
119.51.53.120:9901        | 河南卫视            |   0.45 Mbps | 100%
119.51.53.120:9901        | 黑龙江卫视           |   0.19 Mbps | 100%
175.22.10.193:85          | CCTV1           |   0.07 Mbps | 100%
175.22.10.193:85          | CCTV7           |   0.17 Mbps | 100%
120.70.60.179:9901        | CGTN俄语          |   2.37 Mbps |   0%
120.70.60.179:9901        | CCTV10          |   5.26 Mbps |  25%
112.30.73.119:9901        | sCCTV15音乐       |   2.47 Mbps |   0%
112.30.73.119:9901        | sCCTV1综合        |   2.31 Mbps |   0%
112.27.5.218:9901         | 重庆卫视            |   8.23 Mbps |   0%
112.27.5.218:9901         | CCTV4           |   5.03 Mbps |  47%
106.32.133.109:9999       | CCTV14          |   4.71 Mbps |  43%
106.32.133.109:9999       | 嘉佳卡通            |   3.21 Mbps |  44%
183.131.110.207:85        | 中央1台            |   1.69 Mbps | 100%
183.11.239.36:808         | CCTV2           |   0.16 Mbps | 100%
183.11.239.36:808         | 云南卫视            |   0.13 Mbps | 100%
171.12.10.67:9901         | CCTV3           |   0.16 Mbps | 100%
171.12.10.67:9901         | 天津卫视            |   0.07 Mbps | 100%
113.25.252.226:9901       | 经典电影            |    1.1 Mbps |   3%
113.25.252.226:9901       | 辽宁卫视            |   2.84 Mbps | 100%
124.88.238.50:9003        | CCTV8           |   2.13 Mbps |  87%
124.88.238.50:9003        | CCTV10          |   1.93 Mbps |  57%
171.124.179.31:9999       | 山东卫视            |   1.15 Mbps | 100%
123.129.70.178:9901       | CCTV12社会与法      |   0.17 Mbps | 100%
180.165.12.42:50001       | CCTV12          |   3.53 Mbps | 100%
120.198.95.220:9901       | 浙江卫视            |   2.75 Mbps | 100%
120.198.95.220:9901       | 梅州1             |   3.02 Mbps | 100%
153.0.171.163:9901        | IPTV8           |   2.14 Mbps |   0%
153.0.171.163:9901        | 重庆卫视            |   2.34 Mbps |   0%
116.77.33.98:44330        | 河南卫视            |   1.02 Mbps | 100%
116.77.33.98:44330        | ChannelV        |   1.49 Mbps | 100%
171.213.223.208:808       | 金鹰卡通            |   0.73 Mbps | 100%
